Average_Mark,student_answer_en,reference_answer_en
3.5,"Dissemination of intellectual awareness to reduce the exploitation of victims &apos; ignorance by hackers, application of the Penal Code against hackers, dissemination of a culture of reporting on cyber-crimes, encouragement of hackers to use their abilities to develop information security, with rewards.","Culture of information security, legal legislation, education, culture of awareness and use of technical, administrative and material protection"
0.75,"Failure to open an anonymous e-mail, failure to open links to e-mails, permanent change of password, failure to place the same password in different accounts, not to press any button that induces the password to be saved.","Culture of information security, legal legislation, education, culture of awareness and use of technical, administrative and material protection"
3.875,"Information security culture (securing all resources used to process data against risks that secure the blame, awareness-raising and training, legal legislation.","Culture of information security, legal legislation, education, culture of awareness and use of technical, administrative and material protection"
4.5,"Information security culture (Tamine, all resources used to process data against risks and abuse activities), drafting and applying legal legislation against violators, raising and disseminating a human worker &apos; s culture of awareness and warning him of the dangers he faces over the Internet.","Culture of information security, legal legislation, education, culture of awareness and use of technical, administrative and material protection"
1.75,"Awareness-raising, confidentiality, law enforcement, programme development.","Culture of information security, legal legislation, education, culture of awareness and use of technical, administrative and material protection"
4.375,"Sensitization of persons to the dangers of cybercrime, application of information security, protection of information systems and data, awareness of institutions to use and support early security policy, application of protection in its three categories (material, technical, administrative)","Culture of information security, legal legislation, education, culture of awareness and use of technical, administrative and material protection"
3,"Use of physical protection techniques (cams, alarm system...), technical (biometry...) management, human awareness.","Culture of information security, legal legislation, education, culture of awareness and use of technical, administrative and material protection"
3.25,"Provision of public security through: awareness-raising of staff on public security; use of measurement: physical, technical and administrative bases.","Culture of information security, legal legislation, education, culture of awareness and use of technical, administrative and material protection"
2.5,"Dissemination of an electronic awareness culture, implementation and application of legislation and laws.","Culture of information security, legal legislation, education, culture of awareness and use of technical, administrative and material protection"
0,Get a good security system.,"User identification, user identification, user authority, user liability, privacy and non-denial"
1.25,"Availability: In this case the information must always be present in the system, integration: the whole information must reach without any shortage or omission, confidentiality: the information must be confidential and cannot be reached by those who are not concerned with it.","User identification, user identification, user authority, user liability, privacy and non-denial"
0,"Use of access system (user name, password), use of policies (authorized and prohibited).","User identification, user identification, user authority, user liability, privacy and non-denial"
1.75,Confidentiality -- identity verification -- identity confirmation: knowledge of procedures -- approval,"User identification, user identification, user authority, user liability, privacy and non-denial"
0,#NAME?,"User identification, user identification, user authority, user liability, privacy and non-denial"
3.5,"Identification, identification, non-denial, privacy.","User identification, user identification, user authority, user liability, privacy and non-denial"
0.5,"Availability, integration, confidentiality.","User identification, user identification, user authority, user liability, privacy and non-denial"
0,"Storage, transport, processing.","User identification, user identification, user authority, user liability, privacy and non-denial"
0,"Parity, integration","User identification, user identification, user authority, user liability, privacy and non-denial"
4.75,"Identification, identification, non-denial, user authority, user responsibilities, confidentiality","User identification, user identification, user authority, user liability, privacy and non-denial"
3.5,"Non-denial, log-in, proof of entry, identification of tasks.","User identification, user identification, user authority, user liability, privacy and non-denial"
0.5,"The integrity of information, the provision of security, and so the failure to withhold information under the pretext of providing security and confidentiality of information.","User identification, user identification, user authority, user liability, privacy and non-denial"
4.5,"Identification confirmed by the user, determination of his powers to deny privacy","User identification, user identification, user authority, user liability, privacy and non-denial"
0.5,"Integration = overall security system integration, confidentiality = confidentiality and security of information, savings = permanent security","User identification, user identification, user authority, user liability, privacy and non-denial"
3.75,"Provide integration, confidentiality, user identification, user identity, privacy, user responsibilities","User identification, user identification, user authority, user liability, privacy and non-denial"
4.75,"It\'s measured in the weakest chain, or its throat, where it\'s usually ""human.""","It is measured with the strength of its weakest link, the human being."
2.25,"It is measured as the weakest link in the information system so that if it proves that the weakest part of information security can be countered, the system is considered ready for use.","It is measured with the strength of its weakest link, the human being."
2.25,The security chain of the information system is measured by the weakest link or the weakest point in the system.,"It is measured with the strength of its weakest link, the human being."
0,Availability; integration and user-specific settlement; determination of its powers and responsibilities; non-denial and privacy.,"It is measured with the strength of its weakest link, the human being."
2.75,"It's measured by the weakest link; however secure the information system is, except for any loophole in it that breaks the system for my security.","It is measured with the strength of its weakest link, the human being."
1,The strength of the security chain is measured by the weakest force that can happen.,"It is measured with the strength of its weakest link, the human being."
2.5,The security force is measured by its weakest link.,"It is measured with the strength of its weakest link, the human being."
2.5,Strongly the weakest ring in it.,"It is measured with the strength of its weakest link, the human being."
0,Anti-infringement programmes,"It is measured with the strength of its weakest link, the human being."
2.5,#NAME?,"It is measured with the strength of its weakest link, the human being."
2.5,The strength of the security chain of the information system is measured by the weakest and smallest part of the system (if it contains security gaps),"It is measured with the strength of its weakest link, the human being."
0,Private lazyness.,"It is measured with the strength of its weakest link, the human being."
0.25,"The speed of answering the information system, not stopping it at simultaneous intervals, and the abundance of users.","It is measured with the strength of its weakest link, the human being."
0,The security chain is measured by the ease of penetration of the system and the number of gaps in the system.,"It is measured with the strength of its weakest link, the human being."
0,"With the number of technologies used in the information system using the information security policy,","It is measured with the strength of its weakest link, the human being."
0,The strength of the security chain is measured by the intellectual scale.,"It is measured with the strength of its weakest link, the human being."
0.25,"The information system: physical, human, strategic, moral... and measure the power of the security chain of the information system by identifying the user, proving the user's identity, defining the user's powers, defining the user's responsibilities.","It is measured with the strength of its weakest link, the human being."
1,"It is possible to preserve the physical aspects, data, networks and software of various kinds from attacks and piracy and to take action to protect the human race.","It is measured with the strength of its weakest link, the human being."
0,By organizing competitions involving white hats hackers trying to hack into that system.,"It is measured with the strength of its weakest link, the human being."
2.5,"The power of the security chain of the information system is measured by the weakest link in which security must be comprehensive, and the crime of its personnel and data-processing system must be comprehensive.","It is measured with the strength of its weakest link, the human being."
4.5,It's measured by the strength of the human side and its awareness of information security.,"It is measured with the strength of its weakest link, the human being."
2.5,It's measured in the weakest ring in it.,"It is measured with the strength of its weakest link, the human being."
0,"It's measured by the absence of many gaps, the presence of antivirals and all the measures needed to reduce the attacks of hackers.","It is measured with the strength of its weakest link, the human being."
2.5,It's measured in its weakest ring.,"It is measured with the strength of its weakest link, the human being."
2.5,It's measured with the power of its weakest ring.,"It is measured with the strength of its weakest link, the human being."
1,The weakest part of it.,"It is measured with the strength of its weakest link, the human being."
1.75,It's measured in the weakest ring.,"It is measured with the strength of its weakest link, the human being."
2.75,"High intelligence level, technical competence.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.5,"High ability and talent to write and design software, they have total knowledge of computer components, they have the ability to hack operating systems and manipulate their software, they have the ability to break safety systems.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4,High talent and ability to write and design programs that make them understand how the ATM works and make it easier for them to hack systems;,"High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4,"Superpowers in hacking systems, sharp intelligence and intellect, enabling them to leave no trace of the crime committed, use deception and deception, possess technical skill.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3.75,"With talent and ability to hack the device, they know the content of the computer and how it works, so they can hack, spy, and control systems.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3.5,"Intelligence and ability to hack systems or networks, and so without leaving a trace, study programming so that they can control devices, steal, destroy or delete information, upload programs or viruses.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.375,"Software programming and writing, computer technology control, intelligence, deception.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
2,"Intelligence, skill in requesting information without anyone's knowledge, sophisticated devices.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3.5,"High ability and talent in the design and writing of systems, deep understanding of how computers work, freedom of expression and opinion.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.5,"The ability to hack systems, the intelligence and the ability to understand software and how it works, the redesign of software.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
1.75,Their ability to break safety systems for subversive purposes and steal people's secrets and privacy.,"High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4,"Intelligence, computer software experience, bluffing experience, hacking skills.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
2.25,"Smart, knowing how the computer system works and its parts, working in secret, not leaving traces of crime.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
1,"Organizing and making money, since it's organized by a group in order to make money illegally.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
1.25,"They're unethical hackers from the gray hat, whose mission is to enter or hack into a site or system without permission and publish whatever documents and information they found.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.5,"Cleverness and ability to write and design special programs, a deep understanding of how computers work and thus make it easier for them to hack into, not leave any traces and diversions when they do hacking.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
1,Organizing and stealing money.,"High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.5,Understanding and skills in designing software to hack systems easily and they're very smart people.,"High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.25,"High skills in writing and designing programs, deep understanding of the basis of computers, intelligence.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.25,"Knowing all systems and hacking methods, knowing how to find gaps in systems and how to fill these gaps and knowing networks.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3.25,"They're experts, understanding how to use a computer, which makes it easier to hack into their systems.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
2.75,"Intelligence, skill, high knowledge of software.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3,"Deep understanding of information systems and intelligence skills, tricks and fraud.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4,"The ability to pass protective systems, design malware, and have a profound understanding of how systems work.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.5,"Highly capable of designing software and a deep understanding of the computer, making it easier for them to hack and smart people.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
2.5,"Art and talent, intelligence, experience in writing programs.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.5,"High ability to write and design programs, deep understanding of the mechanism of operating systems, high control of techniques and hacking programs.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4,"The ability to develop and design software, to know how the computer works, to hack into different types of software and systems.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4,"High capabilities, capabilities and competencies in understanding software design and operation, and deep understanding of computer work, operating systems and security, which makes it easier for them to hack.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
0,"Hiddenness, intimidation, control, threat, confidentiality and information.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
0,The pirate systems have the advantage of believing in the freedom of public opinion and expression.,"High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
0.5,"Experience, motivation directed.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
0.75,"Intelligence, they believe in freedom, freedom of opinion and expression.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.5,High talent and abilities to understand and design software and a deep understanding of the computer mechanism that enables them to hack hardware and software.,"High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
0,"You hack the sites, pirate them, access the classified information and steal them.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3.5,"Intelligence, evil, understanding how systems work and how they program.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.25,"High talent and ability to understand and design programs and systems, they have the ability to hack and change systems online, they have super-intelligence in understanding programs and how they work.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.75,"They have great talents and abilities to write and design hacking programs, a deep understanding of how the robot is working, easy to hack and change systems.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.25,"Intelligent and computer software, and they have the ability to manipulate the victim and the ability to know the computer.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3.5,"They have the power to read, write, and develop programs along with a deep understanding of calculators, knowing that they only benefit those who pay them, that they do piracy for a personal purpose, such as money, or steal information or programs that contain crack in them.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4,"By being smart enough to discover gaps, the ability to convince victims and exploit attitudes, and to trap the victim into the trap, and before that, they study and assess the situation before they try to penetrate, and they believe that they are able to bring down any system that they believe there is no full protection and that the gaps always exist.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.25,"A high IQ, well qualified site design and programming, leaves no trace of them after the crime is committed.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
0,"Personal fraud sites, gaps, clicks.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.25,"A deep understanding of how the computer works, a high ability and talent to design programs and write them, the highest intelligence and the ability to mislead and deceive.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3.75,"High understanding and skill and the ability to imagine how software and computers work, they have the talent to invent new software.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3.75,"A profound understanding of how the computer works, a high programme-writing capacity, is a talent in programme design.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
3.5,"Black hats: the ability to hack into non-free systems and programs and give them a Lux number that breaks security systems, steals and distributes free programs for a purpose, white hats: solve problems, build things, and believe in volunteering, learn how systems and programs work to help develop them.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.25,"Superintelligence, they're good at programming, they're good at information technology.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4.25,"System hackers are smart, resourceful, well-understand computers, their operating systems, and how to design them.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
4,"High ability to write and design paddles, a deep understanding of how a computer works.","High intelligence and ability to write and design programs, a deep understanding of how computers work and the ability to hack and break safety systems."
1.25,"It uses methods and techniques of mental and psychological manipulation to gain the trust and deception of victims and obtain confidential information from them, enabling them to penetrate in non-technical ways.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4.5,"Manipulating and deceiving others to the speed of their secret information, as people trust others and are in many ways: face-to-face, using telephones or social media.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1,"Reliance, the possibility of penetration without the use of technical methods.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
2,"Spread false e-mails, fraud and get the password face-to-face.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.25,It's a practice that uses psychological and mental abuse to obtain classified information.,"Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.75,Practice using psychological manipulation to get classified information.,"Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.75,"Misdirection and infiltration, use of manipulation and direct fraud against persons, change the shape of the site.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1.25,"Sending a fake e-mail asks you to change your password or send you to a hacking site, disguises as one of your relatives to get personal information from you.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4.25,"Depends on the psychological manipulation methods of others using telephones, mail or face-to-face without reference to electronic means, in place of confidence in others, there is no technique to detect a criminal, a hacking system that does not need technology, its existence in everyday life.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
2.25,"To manipulate the victim\'s psychic and mental without direct interference, you use methods of seduction and fraud, for example: ""A message telling you that you won a car,"" he made the victim trust the source and his personal information was stolen.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.75,Exercising psycho-psychiatry on people to get their personal information.,"Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.75,"Using illegal methods to manipulate the victim, for example, using the voice of a crying child to influence the victim and accusing him that the hacker is in a state of urgency or critical.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0,"Dissemination of a culture of information security, dissemination of a culture of awareness.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.75,"- Trusting others. - Following people's behavior to figure out what we can use to override their password, for example.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1,"Exactly. Please confirm your identity. For security reasons, enter your personal data in the following boxes.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0,Create and send non-original sites with the aim of hacking into a personal account and taking over his money.,"Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4.75,#NAME?,"Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.75,"Psychological and emotional manipulation, seductive messages.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.25,The effect on an individual's psychic is giving or leaking information.,"Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4.5,"Psychiatric manipulation to steal information through phone, face-to-face or conversation.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1,"Deception, creating false pages.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.25,"Mail, outreach, lectures.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
2.25,"Letters of seduction, lying, software is not used.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4,"Face-to-face, phone, texting, and that's after collecting information on the victim.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1,"The victim's delusion that he won a sum of money or a gift, impersonated as an official institution and asked the victim for information.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4,"They're different psychological and mental games and tricks aimed at getting information, face-to-face with prank talk, overconfident exploitation, mobile phone, text calls, e-mails.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4.75,"Phone, Internet pages, e-mail, social media, face-to-face.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1.5,"Depends on the mental and psychological manipulation of a human being to steal his personal and confidential information, such as creating sites similar to other sites that require the user to enter his personal data and credit card numbers.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4.25,"And face-to-face, Internet, cell phone, messages.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.25,"Creation of fake-like pages of originality, installation of key-monitoring software","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1,"In sociopsychological engineering, the unsub uses methods to manipulate unconscious humans, as it's easier to fool humans than to cheat computers.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1.25,"By thumb, often by e-mails, they also use scientific studies in psychology, mostly without advanced techniques.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
3.25,"Sending a fake e-mail to update user information (locations showing a fake web page to the user, asking the user to enter his information and password)","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
3.625,"On the phone, e-mail, face-to-face.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1.75,We rely on modes of transport manipulation by influencing humans through direct influence and other methods of manipulation and deception in order to reach penetration and bypass security systems.,"Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4.25,"Face-to-face psychological and mental manipulation, psychological manipulation through suspicious locations, trusting others, sending suspicious seduction messages.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1.5,"Seducing people, manipulating themselves and their minds, using them to get personal information, stealing it.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
1.25,Sending letters from fake sites to trick multiple victims and get their personal information.,"Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
2.75,"Phones and web sites where the unsub recognizes the victim, learns about her behavior and information that enables him to use her to carry out his crime.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
0.5,"Fraud. Threatening, gaining trust.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4,"It could be on the phone, face-to-face, or in technical ways, e-mails, seduction sites, impersonation sites.","Use of face-to-face e-mail techniques of psychological manipulation via telephone, Internet pages."
4,"The information the hacker gets, whether it's switched, stolen, sabotaged, vandalized and disabled, changed the face of the site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
2.75,"Change the face of the site, steal, change or destroy the information.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
2.5,"Change the interface, steal the personal information of the site's users.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
4,"Disrupting the network, stealing its own information, stealing accounts, changing location, spying, violating privacy, scamming and fraud.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.75,"Change the face of the site, the possibility of changing its content, shutting it down altogether, or extracting the information it gets.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.625,"Change the site interface, steal or destroy information, disrupt the site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
2.5,"Change of website content, theft of user information","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
4.25,"Stealing, changing or removing information, changing the face of the site, sabotage or disruption of the device, falsification of data","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
0.25,"Breach crimes, piracy crimes.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3,"To hack and hack into a computer, or organize it to find out all the information about the industrial secrets of one device, and to provide this information to another industrial company with considerable money.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.5,"Change the face of the site, change, steal, remove, sabotage or disrupt the devices.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
0.5,"Entering a site without the authority of its owner, using the privacy of the site or moving its information without permission.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
4,"Changing content, blocking site service, getting information and secrets.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
2.5,"Facial change, theft of traffic information and passwords, caused loss of money and reputation of the site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.5,"Stealing all important information, removing some or all data, destroying and changing it, changing the face of the network, discrediting it.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
2.5,"Stealing data, ruining or disrupting it, changing location.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
1,"E-infringement, piracy, financial crimes, access to banned sites.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.25,"Change, remove or add information, change site interface, steal data.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3,"Change, destroy and delete the data, change the face of the site and control it.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
1.375,"The crime of stealing information, the crime of modifying information, the crime of deleting information.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
2.75,"Robbery, change or remove information, change the face of the site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
1.375,"Changing the face of the site, blocking the dumping service with messages.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.125,"Change the site's face, steal the site's data, control the site's server.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.25,"Access to data, stolen, altered or improperly deleted, distorted site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
2.75,"Stealing information, changing information, deleting information, changing the face of the site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.75,"Stealing information, destroying it or changing it, destroying and damaging devices, changing the location.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.5,"Spying and privacy fraud, system destruction and breaking, page change.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
1.125,Stealing data and sabotaging it.,"Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3,"Taking information to change it or using it for illegal purposes, changing the shape of the site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.25,"Stealing, changing or destroying information, spying, changing the face of the site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
1.5,"Exploitation of software defects, creation of personal impersonation sites, installation of spyware as a keyboard recording software, intrusion and infiltration, sinking of messages, viruses.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
2.25,"Change of location, theft of user passwords, theft of information exchanged across the site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3,"Stealing information, changing or deleting information, changing the face of the site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
4,"Robbing or destroying information, disrupting and disrupting the site, changing the site interface, changing the site interface and changing the information it contains.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3,"Changing page content, changing data for users, stealing data and information.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
4.375,"Slows navigation at regular intervals, impossible access to user data, theft, alteration and destruction of classified information, change of site face, sabotage of site.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
3.5,"Stealing data, destroying or modifying data, changing website pages, stealing identity and passwords.","Change, steal or remove the information that the hacker has on it, sabotage and disrupt the devices, change the face of the sites, slow down the navigation and interrupt it at intervals."
